assignment_ID,company_ID1,topic_assignment,deadline_assignment,interval_assignment,status_assignment,is_default_assignment,is_reoccurring_assignment,assignment_completed_at
A_4358d5f09e6d,C_87930d2c9f22,Pflichtschulungen,2024-11-30 00:00:00,null,ACTIVE,false,false,null
A_b3718108360d,C_87930d2c9f22,Pro on the Go,2024-08-31 00:00:00,24M,ACTIVE,false,true,null
A_f1885a95618d,C_8b391db2f616,Pflichtschulung,2022-12-31 00:00:00,24M,ACTIVE,false,true,null
A_227fb4c13173,C_d1cd73b81035,Ausserklinische Intensiv,2023-01-15 00:00:00,null,ACTIVE,false,false,null
A_2e585c75a4ee,C_2f606cb6f9aa,Pflichtschulung für alle Mitarbeiter ,2023-01-16 00:00:00,12M,ACTIVE,false,true,null
A_4f1ca6785610,C_2f606cb6f9aa,Pflichtfortbildung für alle Pflegehilskräfte Ambulant und Tagespflege ,2024-02-19 00:00:00,null,ACTIVE,false,false,null
A_d6019eefb24c,C_2f606cb6f9aa,Pflichtschulung für alle Pflegekräfte ,2023-02-07 00:00:00,null,ACTIVE,false,false,null
A_69855519a0e3,C_1fe704c0889b,Pflichtschulungen,null,null,DRAFT,false,false,null
A_e8a14d30b8a9,C_8b391db2f616,Pflichtschulung,2027-01-01 01:00:02.886,24M,ACTIVE,false,true,null
A_1a797db647b2,C_2f606cb6f9aa,Pflichtschulung ,2023-01-23 00:00:00,null,ACTIVE,false,false,null
A_7a7ae00bf62e,C_17ad2ad1c2e3,testpan,2023-01-18 00:00:00,6M,ACTIVE,false,false,null
A_67683fcfba6c,C_d1cf643b8824,Expertenstandards,2023-01-31 00:00:00,null,ACTIVE,false,false,null
A_1cee1213fa4f,C_bcfe56147ddb,Alltagsbegleitung,null,null,DRAFT,false,false,null
A_f3670b22643a,C_b94144bf2600,Hygiene,2023-01-27 00:00:00,null,ACTIVE,false,false,null
A_b91b8979b4fb,C_d1cf643b8824,Pflichtschulungen - Hygiene in der ambulanten Pflege ,2023-01-31 00:00:00,null,ACTIVE,false,false,null
A_99faa64f2ac3,C_8b391db2f616,Pflichtschullung,2023-02-28 00:00:00,null,ACTIVE,false,false,null
A_b8fa28ce9d38,C_8b391db2f616,Schullung,2023-03-31 00:00:00,null,ACTIVE,false,false,null
A_22f29cd14316,C_8b391db2f616,Expertenstandart,2023-02-28 00:00:00,null,ACTIVE,false,false,null
