user_course_state,assignment_id1,course_id,user_id,course_type
COMPLETED,A_fa75556e3bd1,CRS_49d3f89607a6,U_1c1ba3d74997,Pflichtkurs
COMPLETED,A_75b3ab23a250,CRS_85eb95738e67,U_fb3ea78c6215,Pflichtkurs
COMPLETED,A_3603c21f52b2,CRS_c2ed3ea0c278,U_2e6869f588ad,Pflichtkurs
NOTSTARTED,A_e84d95a9d82b,CRS_b1be778f6307,U_643d39bd2261,Pflichtkurs
COMPLETED,A_4798219a5c8e,CRS_76bab5d0b210,U_40fb25d143ee,Pflichtkurs
NOTSTARTED,A_e84d95a9d82b,CRS_34a2beae085e,U_7beb2267a410,Pflichtkurs
NOTSTARTED,A_5fbfe8a68497,CRS_a452f24e3af9,U_85d25593b35a,Pflichtkurs
INPROGRESS,A_75b3ab23a250,CRS_5dcab55a45fc,U_fb3ea78c6215,Pflichtkurs
COMPLETED,A_b1c8630a18b4,CRS_1ffb54315b87,U_47a7fb8025a0,Pflichtkurs
COMPLETED,A_ca935a47dac8,CRS_820975560f52,U_47a76c419ac7,Pflichtkurs
NOTSTARTED,A_5fbfe8a68497,CRS_3a58a38a0b7e,U_7d33d23a24a2,Pflichtkurs
COMPLETED,A_f8a05eb2ae2b,CRS_76bab5d0b210,U_c0e1c5e0d5ed,Pflichtkurs
COMPLETED,A_6d78a62fd950,CRS_4c582551bbc8,U_db93e44e952a,Pflichtkurs
COMPLETED,A_231890bd1b38,CRS_7a502a08a99b,U_576873343cc9,Pflichtkurs
COMPLETED,A_88aa090ca44b,CRS_933bbf06a4ce,U_6ae6dbd37cb3,Pflichtkurs
COMPLETED,A_88aa090ca44b,CRS_381bfaa01001,U_177abfb2fa54,Pflichtkurs
NOTSTARTED,A_e84d95a9d82b,CRS_ad060cdc167b,U_7beb2267a410,Pflichtkurs
COMPLETED,A_0f557e59cdba,CRS_c2ed3ea0c278,U_9af8b0f14de3,Pflichtkurs
COMPLETED,A_88aa090ca44b,CRS_933bbf06a4ce,U_7deb38c2d3cb,Pflichtkurs
COMPLETED,A_f0d1cbc15adf,CRS_da01077acb17,U_26c6ce2f6b52,Pflichtkurs
NOTSTARTED,A_e84d95a9d82b,CRS_34a2beae085e,U_643d39bd2261,Pflichtkurs
INPROGRESS,A_0df93d06b03c,CRS_3b5fc1a96bc3,U_f6f88e238d1d,Pflichtkurs
COMPLETED,A_4798219a5c8e,CRS_f4c33888f082,U_d6149f248109,Pflichtkurs
COMPLETED,A_3e5083de7934,CRS_dfe44530fb0f,U_8fc9099e40b0,Pflichtkurs
NOTSTARTED,A_e84d95a9d82b,CRS_8ffb9cfcaf84,U_7beb2267a410,Pflichtkurs
NOTSTARTED,A_5fbfe8a68497,CRS_a452f24e3af9,U_7d33d23a24a2,Pflichtkurs
COMPLETED,A_f4322da1a132,CRS_d765bcca633c,U_659a5719fc7d,Pflichtkurs
COMPLETED,A_e3da6cf68307,CRS_0d7af4f2a841,U_c0e1c5e0d5ed,Pflichtkurs
COMPLETED,A_8f7bcd197476,CRS_7c10904b236a,U_b3efa89d7adf,Pflichtkurs
NOTSTARTED,A_e84d95a9d82b,CRS_eea6d04e69f4,U_2ac51a259462,Pflichtkurs
COMPLETED,A_0df93d06b03c,CRS_eb478a56537d,U_f6f88e238d1d,Pflichtkurs
NOTSTARTED,A_e84d95a9d82b,CRS_ad060cdc167b,U_7d33d23a24a2,Pflichtkurs
COMPLETED,A_6db5cf28b90a,CRS_9b43fb4012d7,U_7b40810ccb7f,Pflichtkurs
NOTSTARTED,A_e84d95a9d82b,CRS_b1be778f6307,U_4460e2d42163,Pflichtkurs
