company_ID,company_Name,federalState,source,reason,trial_starts_at,trial_ends_at,company_created_at,company_Status,subTypeId,company_status_simple,no_user
C_3160ca82e1c1,C_ef131c008f74,Rheinland-Pfalz,null,null,2022-11-14 13:39:30.391,2023-01-01 13:39:30.391,2022-11-14 13:39:30.393232,ACTIVE,T_261633459b54,ACTIVE,false
C_8b391db2f616,C_71f3c7c22d0e,Baden-Württemberg,null,null,2022-12-06 10:33:37.544,2023-01-05 10:33:37.544,2022-12-06 10:33:37.54565,ACTIVE,T_261633459b54,ACTIVE,false
C_d1cd73b81035,C_79c2d0dda1db,null,null,,2022-12-06 10:59:08.713,2023-01-05 10:59:08.713,2022-12-06 10:59:08.715192,ANONYMIZED,T_261633459b54,INACTIVE,false
C_a39b4cb21056,C_01a2db128292,Hessen,null,null,2022-12-06 11:02:31.243,2023-01-05 11:02:31.243,2022-12-06 11:02:31.244904,ACTIVE,T_261633459b54,ACTIVE,false
C_6dd1b1c51148,C_3a6d0067940f,Sachsen,null,null,2022-12-11 14:00:26.782,2023-01-20 14:00:26.782,2022-12-11 14:00:26.789173,ACTIVE,T_261633459b54,ACTIVE,false
C_2f606cb6f9aa,C_7b9fc5f2e0ab,null,null,,2022-12-13 17:11:16.22,2023-01-12 17:11:16.22,2022-12-13 17:11:16.227056,ANONYMIZED,T_261633459b54,INACTIVE,false
C_55ad43034a86,C_9b3e485c9f16,null,null,,2022-12-14 05:18:59.139,2023-01-13 05:18:59.139,2022-12-14 05:18:59.140213,ANONYMIZED,T_261633459b54,INACTIVE,false
C_1fe704c0889b,C_0bb904a24bdf,null,null,,2022-12-15 17:51:13.445,2023-01-14 17:51:13.445,2022-12-15 17:51:13.445193,ANONYMIZED,T_261633459b54,INACTIVE,false
C_da2c90e3330f,C_1b18629353d6,null,null,,2022-12-17 16:59:57.848,2023-01-16 16:59:57.848,2022-12-17 16:59:57.848309,ANONYMIZED,T_261633459b54,INACTIVE,false
C_dbd779b36bfe,C_124a76e462ee,null,website,,2022-12-21 10:00:38.362,2023-01-20 10:00:38.362,2022-12-21 10:00:38.362405,ANONYMIZED,T_261633459b54,INACTIVE,false
C_71e8fbc5008b,C_c190dcc06e8d,null,recommend,,2022-12-23 06:39:41.351,2023-02-05 06:39:41.351,2022-12-23 06:39:41.352364,ANONYMIZED,T_261633459b54,INACTIVE,false
C_d5fc742235bb,C_12d6f8b4de64,null,search-engine,,2022-12-28 19:04:40.655,2023-01-27 19:04:40.655,2022-12-28 19:04:40.655996,ANONYMIZED,T_261633459b54,INACTIVE,false
