id,userCancelledAt,startingTime,expiryTime,companyId,status,hasFixedLicenseCount,noOfLicenses
CON_407408a4c27b,null,2024-05-20 05:58:29.85,null,C_ab339c516725,ACTIVE,false,null
CON_c674d13aed8a,null,2024-05-23 11:59:28.355,null,C_3fbca8bf0298,ACTIVE,false,null
CON_69eb2fb288df,null,2024-05-26 08:04:52.627,null,C_81451b741eb6,ACTIVE,false,null
CON_5eb050004524,null,2024-05-26 08:29:13.358,null,C_27997e855f84,SUSPENDED,false,null
CON_2f0ee2314967,null,2024-05-27 08:17:54.101,null,C_635710cd86ed,ACTIVE,false,null
CON_e723af68a34a,null,2024-05-31 05:36:03.905,null,C_6ad9f6324269,ACTIVE,false,null
CON_55f8e1966b8a,null,2024-06-02 09:58:00.978,null,C_2e0d97fa3a70,ACTIVE,false,null
CON_5d4d59e6a613,null,2024-06-03 21:09:21.054,null,C_ea0f35ab71b1,ACTIVE,false,null
CON_1b0dc2719e53,null,2024-06-30 19:25:50.754,null,C_8ccbe2487417,SUSPENDED,false,null
CON_f468d7f9ba8c,null,2024-03-21 00:00:00,2024-04-01 23:59:59.999,C_b8b5f70bb7dd,EXPIRED,false,null
CON_0fd4b7778968,null,2024-07-03 00:00:00,null,C_72f14b2b75db,SUSPENDED,false,null
CON_523997d6d164,2025-12-31 00:00:00,2023-12-26 00:00:00,2025-12-31 00:00:00,C_eb5e7d8cea49,EXPIRED,false,null
CON_b55a31eb0e74,null,2024-06-12 00:00:00,null,C_0cc4ab6f4d03,SUSPENDED,false,null
CON_41716c2c1a70,null,2024-06-16 00:00:00,null,C_ffa5459ef847,SUSPENDED,false,null
CON_3de6449943a9,null,2024-06-21 00:00:00,null,C_6d7ea7925d57,SUSPENDED,false,null
CON_58c3088fc9c7,2025-04-24 23:59:59.999,2024-02-01 00:00:00,2025-05-24 23:59:59.999,C_099e8cb8142a,EXPIRED,false,null
CON_43326718352f,null,2024-04-04 00:00:00,2024-06-01 23:59:59.999,C_7c4714caf7fa,EXPIRED,false,null
CON_3ee3a56acd48,null,2122-12-02 00:00:00,null,C_87930d2c9f22,PENDING,false,null
CON_2eb1fdb493ad,null,2122-10-01 00:00:00,null,C_0a331314796b,PENDING,false,null
CON_245ebed7c64a,null,2024-06-22 00:00:00,null,C_5c2cfe89f86d,SUSPENDED,false,null
CON_4b4bfd3d890a,null,2024-07-04 00:00:00,null,C_541eea12e393,SUSPENDED,false,null
CON_77fb50b74529,null,2024-03-10 00:00:00,2024-04-01 23:59:59.999,C_62738badee29,EXPIRED,false,null
CON_c76aa6cd799b,null,2024-05-22 00:00:00,2024-05-21 23:59:59.999,C_0a7e13477d76,EXPIRED,false,null
CON_773281305c0f,null,2024-06-06 00:00:00,null,C_f58325ffd1f9,SUSPENDED,false,null
CON_6926687576e0,null,2024-06-14 00:00:00,null,C_f7cfa5e58d56,SUSPENDED,false,null
CON_13d918057906,null,2024-05-05 00:00:00,null,C_c72d498b9a62,ACTIVE,false,null
CON_3d5ce3713300,null,2024-06-16 00:00:00,null,C_def126576ee1,SUSPENDED,false,null
CON_b590de7bb675,null,2024-01-11 00:00:00,null,C_b54c3ef44d67,ACTIVE,false,null
CON_3f895d1da937,null,2024-06-27 00:00:00,null,C_bdc68d24b14e,SUSPENDED,false,null
CON_db8e37ea3afa,null,2024-06-09 00:00:00,null,C_c2fb39d3e280,SUSPENDED,false,null
CON_ad5a1b3307b2,null,2024-05-30 00:00:00,2024-05-29 23:59:59.999,C_8b84cbd05bdd,EXPIRED,false,null
CON_9a81f16e0d32,null,2023-06-08 00:00:00,null,C_e39d59842c21,ACTIVE,false,null
CON_ea4ba31818fa,null,2024-04-12 00:00:00,2024-05-01 23:59:59.999,C_47d480f6d5d6,EXPIRED,false,null
CON_12da831f0f9b,null,2024-06-17 00:00:00,null,C_3af6c01fc132,SUSPENDED,false,null
CON_0b1bf7764483,null,2024-06-25 00:00:00,null,C_105404827e0f,SUSPENDED,false,null
CON_90ebe4e4db41,null,2024-03-11 00:00:00,2024-04-01 23:59:59.999,C_050ab23c82a8,EXPIRED,false,null
CON_27aae5321236,null,2024-03-04 00:00:00,null,C_b952dd35b2f1,ACTIVE,false,null
CON_b5ce456c422a,null,2024-03-14 00:00:00,2024-04-01 23:59:59.999,C_b1459d20a051,EXPIRED,false,null
CON_228df672f9d6,null,2023-02-17 00:00:00,2023-03-01 23:59:59.999,C_68df3a08fb36,EXPIRED,false,null
CON_9b113f0c212d,null,2023-08-14 00:00:00,2025-02-27 00:00:00,C_b54fb66700cc,EXPIRED,false,null
CON_8d535855faa0,null,2023-09-20 00:00:00,null,C_2e9e636c4e00,ACTIVE,false,null
CON_b6e0d26e1a7f,null,2025-01-04 00:00:00,2024-07-01 23:59:59.999,C_7d89b7b6e96f,EXPIRED,false,null
CON_d5c90712355a,null,2024-04-19 00:00:00,null,C_cc29f62d79e6,ACTIVE,false,null
CON_453d6279424c,null,2024-06-29 00:00:00,null,C_4c68d4d4cfad,SUSPENDED,false,null
CON_554f5905a64c,null,2023-12-31 00:00:00,null,C_90fd6dedc6a8,ACTIVE,false,null
CON_8aa6809e71c3,2025-03-30 23:00:00,2023-01-13 00:00:00,2025-03-30 23:00:00,C_2f606cb6f9aa,EXPIRED,false,null
CON_977fb7ebe226,null,2024-04-05 00:00:00,2024-05-01 23:59:59.999,C_7a6b070d5201,EXPIRED,false,null
CON_e17ade24b994,null,2023-07-19 00:00:00,null,C_7ffa9c8eacad,ACTIVE,false,null
CON_4864e28d0570,null,2023-09-24 00:00:00,null,C_f85cdeca5230,ACTIVE,false,null
CON_5afcddc85286,null,2023-06-30 00:00:00,null,C_2f676c693e03,ACTIVE,false,null
CON_5ffab1024eee,null,2023-10-22 00:00:00,null,C_534b9225f01a,ACTIVE,false,null
CON_7d9e4e76e479,null,2023-10-12 00:00:00,null,C_99089b21d19f,ACTIVE,false,null
CON_39ce9acaf5a7,null,2023-10-28 00:00:00,null,C_728a4117ee9e,ACTIVE,false,null
CON_d6d71e6786c0,null,2024-04-16 00:00:00,2024-05-01 23:59:59.999,C_376afd055848,EXPIRED,false,null
CON_fbb744e9fb89,null,2024-05-09 00:00:00,null,C_59ccd50b2283,ACTIVE,false,null
CON_d200a955ed8b,null,2024-03-06 00:00:00,2024-04-01 23:59:59.999,C_d775f1fe4295,EXPIRED,false,null
CON_6117a4a41db1,null,2024-06-30 00:00:00,null,C_e3e5cd6eb0c4,SUSPENDED,false,null
CON_65b887fddf20,null,2023-12-31 00:00:00,null,C_a2ef2f4a65e7,ACTIVE,false,null
CON_7d16662a6ee9,null,2024-03-13 00:00:00,null,C_75a1b1ed73df,ACTIVE,false,null
CON_f2f841fc0f01,null,2024-03-29 00:00:00,null,C_9a40b1cd2efe,INACTIVE,false,null
CON_032e8d315ce5,null,2023-08-06 00:00:00,2023-09-01 23:59:59.999,C_8e1a3b86d410,EXPIRED,false,null
CON_f39e2391c8c7,null,2023-01-02 00:00:00,null,C_3160ca82e1c1,ACTIVE,false,null
CON_828a0902a579,null,2023-01-21 00:00:00,null,C_6dd1b1c51148,ACTIVE,false,null
