course_id1,course_name,course_duration_in_min,course_description,course_status,course_rbp,course_cne_available,course_cme_available
CRS_bc47921867f4,Hygiene - Schutz vor Ansteckung (Leichte Sprache),30.0,"Dieser Kurs erklärt, wie Krankheiten übertragen werden.",ARCHIVED,1,false,false
CRS_23bd6439a989,Arbeitsschutz Basisschulung - Lerneinheit,15.0,In diesem Kurs erhalten Sie grundlegendes Wissen zum Arbeitsschutzsystem in Deutschland.,RELEASED,null,false,false
CRS_640fbcdff31f,Nosokomiale Infektionen - Lerneinheit Nosokomiale Pneumonie,0.25,"In diesem Kurs erfahren Sie N&auml;heres zur Bedeutung nosokomialer Pneumonien, deren Entstehung, Risikofaktoren und geeigneten Pr&auml;ventionsma&szlig;nahmen. Die Inhalte dieses Kurses sind an die entsprechenden themenspezifischen Empfehlungen des RKI angelehnt. Dieser Kurs ist nicht vertont.",RELEASED,0,false,false
CRS_636099616e61,Nosokomiale Infektionen - Lerneinheit Postoperative Wundinfektionen,0.25,"Dieser Kurs soll Ihnen die Gefahr einer postoperativen Wundinfektion verdeutlichen, n&auml;here Informationen hierzu vermitteln und Pr&auml;ventionsma&szlig;nahmen aufzeigen. Dieser Kurs ist nicht vertont.",RELEASED,0,false,false
CRS_8dbba0b42db2,Nosokomiale Infektionen - Lerneinheit Nosokomiale Sepsis,0.25,"Dieser Kurs verschafft Ihnen ein Verst&auml;ndnis von nosokomialen Infektionen, sodass Sie im praktischen Arbeitsalltag die Pr&auml;ventionsma&szlig;nahmen verstehen und umsetzen k&ouml;nnen. Dieser Kurs ist nicht vertont.",RELEASED,0,false,false
CRS_b5e7dc025ff8,Deeskalation - Richtiges Verhalten üben (ohne Audio),0.25,"Sie sind eine Pflegefachperson auf einer psychiatrischen Akutstation. Sie werden sich in einem typischen Szenario finden, das w&auml;hrend jeder Schicht passieren kann. Wie es sich entwickelt, liegt an Ihnen.<br />
In diesem Kurs k&ouml;nnen Sie Deeskalationstechniken &uuml;ben. Erkennen Sie verbale und nonverbale Eskalationshinweise bei Menschen und lernen Sie, wie Sie sie positiv beeinflussen k&ouml;nnen, um die Situation zu entsch&auml;rfen.",RELEASED,null,true,false
CRS_6bd54c94e33d,Hygiene - Übertragungsbasierte Infektionsprävention,0.25,"Manchmal ist der Einsatz der Standardhygienema&szlig;nahmen nicht ausreichend, um die Ausbreitung eines Erregers zu verhindern. In diesen F&auml;llen sind zus&auml;tzliche &uuml;bertragungsbasierte pr&auml;ventive Ma&szlig;nahmen erforderlich.&nbsp;<br />
Dieser Kurs basiert auf der Vorlage &bdquo;Hygiene &ndash; Isolierungsma&szlig;nahmen im Krankenhaus&ldquo;. Er zeigt Ihnen m&ouml;gliche &Uuml;bertragungswege von Krankheitserregern und die passenden Schutzma&szlig;nahmen, um diese Wege zu unterbinden.&nbsp;Die Inhalte dieses Kurses sind an die entsprechenden themenspezifischen Empfehlungen des RKI angelehnt.",RELEASED,0,false,false
CRS_1664bf12b133,Hygiene - Übertragungsbasierte Infektionsprävention (ohne Audio),0.25,"Manchmal ist der Einsatz der Standardhygienema&szlig;nahmen nicht ausreichend, um die Ausbreitung eines Erregers zu verhindern. In diesen F&auml;llen sind zus&auml;tzliche &uuml;bertragungsbasierte pr&auml;ventive Ma&szlig;nahmen erforderlich.&nbsp;<br />
Dieser Kurs basiert auf der Vorlage &bdquo;Hygiene &ndash; Isolierungsma&szlig;nahmen im Krankenhaus&ldquo;. Er zeigt Ihnen m&ouml;gliche &Uuml;bertragungswege von Krankheitserregern und die passenden Schutzma&szlig;nahmen, um diese Wege zu unterbinden.&nbsp;Die Inhalte dieses Kurses sind an die entsprechenden themenspezifischen Empfehlungen des RKI angelehnt.",RELEASED,0,false,false
CRS_dadff18c47e8,Arbeitsschutz für pflegerisches und medizinisches Personal im Krankenhaus - Lerneinheit ohne Audio,0.5,"Dieser Kurs ist f&uuml;r Krankenh&auml;user geeignet und richtet sich an pflegerisches und &auml;rztliches Personal.<br />
Der Kurs vermittelt, wie Sie sicher arbeiten und bei Unf&auml;llen und Gesundheitssch&auml;den richtig handeln. Sie lernen Sicherheits- und Gesundheitsrisiken kennen und erfahren, wie Sie z. B. Sturz- und Stolperunf&auml;lle verhindern, sicher mit scharfen und spitzen Gegenst&auml;nden umgehen und Ihre Hautgesundheit sch&uuml;tzen. Dar&uuml;ber hinaus erfahren Sie, wie Sie auf aggressives Verhalten anderer deeskalierend einwirken k&ouml;nnen.<br />
Viele Einrichtungen schulen dieses Thema regelm&auml;&szlig;ig, z. B. j&auml;hrlich. Beachten Sie neben den Inhalten in diesem Kurs auch einrichtungsspezifische Regelungen und Verfahrensanweisungen zum Arbeitsschutz.",RELEASED,1,false,false
CRS_83a93d272747,Arbeitsschutz für pflegerisches und medizinisches Personal im Krankenhaus - Lerneinheit,0.5,"Dieser Kurs ist f&uuml;r Krankenh&auml;user geeignet und richtet sich an pflegerisches und &auml;rztliches Personal.<br />
Der Kurs vermittelt, wie Sie sicher arbeiten und bei Unf&auml;llen und Gesundheitssch&auml;den richtig handeln. Sie lernen Sicherheits- und Gesundheitsrisiken kennen und erfahren, wie Sie z. B. Sturz- und Stolperunf&auml;lle verhindern, sicher mit scharfen und spitzen Gegenst&auml;nden umgehen und Ihre Hautgesundheit sch&uuml;tzen. Dar&uuml;ber hinaus erfahren Sie, wie Sie auf aggressives Verhalten anderer deeskalierend einwirken k&ouml;nnen.<br />
Viele Einrichtungen schulen dieses Thema regelm&auml;&szlig;ig, z. B. j&auml;hrlich. Beachten Sie neben den Inhalten in diesem Kurs auch einrichtungsspezifische Regelungen und Verfahrensanweisungen zum Arbeitsschutz.",RELEASED,1,false,false
CRS_dfbcd3df403d,Arbeitsschutz für Service- und Logistikpersonal im Krankenhaus - Lerneinheit (ohne Audio),0.5,"Dieser Kurs richtet sich an Service- und Logistikpersonal in Krankenh&auml;usern.<br />
Der Kurs vermittelt, wie Sie sicher arbeiten und bei Unf&auml;llen und Gesundheitssch&auml;den richtig handeln. Sie lernen Sicherheits- und Gesundheitsrisiken kennen und erfahren, wie Sie z. B. Sturz- und Stolperunf&auml;lle verhindern, sicher mit scharfen und spitzen Gegenst&auml;nden umgehen, richtig Heben und Tragen und Ihre Hautgesundheit sch&uuml;tzen.<br />
Viele Einrichtungen schulen dieses Thema regelm&auml;&szlig;ig, z. B. j&auml;hrlich. Beachten Sie neben den Inhalten in diesem Kurs auch einrichtungsspezifische Regelungen und Verfahrensanweisungen zum Arbeitsschutz.",RELEASED,1,false,false
CRS_38578a70d6f1,Arbeitsschutz für Service- und Logistikpersonal im Krankenhaus - Lerneinheit,0.5,"Dieser Kurs richtet sich an Service- und Logistikpersonal in Krankenh&auml;usern.<br />
Der Kurs vermittelt, wie Sie sicher arbeiten und bei Unf&auml;llen und Gesundheitssch&auml;den richtig handeln. Sie lernen Sicherheits- und Gesundheitsrisiken kennen und erfahren, wie Sie z. B. Sturz- und Stolperunf&auml;lle verhindern, sicher mit scharfen und spitzen Gegenst&auml;nden umgehen, richtig Heben und Tragen und Ihre Hautgesundheit sch&uuml;tzen.<br />
Viele Einrichtungen schulen dieses Thema regelm&auml;&szlig;ig, z. B. j&auml;hrlich. Beachten Sie neben den Inhalten in diesem Kurs auch einrichtungsspezifische Regelungen und Verfahrensanweisungen zum Arbeitsschutz.",RELEASED,1,false,false
