exam_userId,examId,exam_assignmentId,resultPercentage,correctAnswers,questionsCount,hasPassed,exam_date
U_7c15d1cf9b8a,EX_58199c4087fe,A_bec0c712d4dc,80,8,10,true,2026-06-30 21:07:39.38325
U_1ceac3fb5103,EX_efecaa4f1e91,A_22e95369ddb5,70,7,10,true,2026-06-30 21:02:12.220179
U_1c0621611fdb,EX_f80803a4e666,A_a0d536bceb9b,100,1,1,true,2026-06-30 21:00:53.598902
U_886167bac431,EX_f80803a4e666,A_a0d536bceb9b,100,1,1,true,2026-06-30 21:00:45.429199
U_1c0621611fdb,EX_d333a384b2d7,A_a0d536bceb9b,100,1,1,true,2026-06-30 20:54:56.869052
U_886167bac431,EX_d333a384b2d7,A_a0d536bceb9b,100,1,1,true,2026-06-30 20:54:49.766163
U_f9da5182f241,EX_b177c0f02ed1,A_e69574b53502,80,4,5,true,2026-06-30 20:34:47.054386
U_1c0621611fdb,EX_2fd1dc6e2e24,A_a0d536bceb9b,100,1,1,true,2026-06-30 20:32:36.478737
U_886167bac431,EX_2fd1dc6e2e24,A_a0d536bceb9b,100,1,1,true,2026-06-30 20:32:21.815202
U_886167bac431,EX_c1be53ce0676,A_a0d536bceb9b,100,1,1,true,2026-06-30 20:29:41.642519
U_1c0621611fdb,EX_c1be53ce0676,A_a0d536bceb9b,100,1,1,true,2026-06-30 20:29:40.739648
U_d1ebd74aceeb,EX_ba3c64a931a0,A_d4d059b8ac82,100,10,10,true,2026-06-30 20:27:17.854473
U_1c0621611fdb,EX_9096c9bbcbf1,A_9b216d110fd0,100,10,10,true,2026-06-30 20:25:32.779514
U_886167bac431,EX_9096c9bbcbf1,A_9b216d110fd0,100,10,10,true,2026-06-30 20:25:07.076055
U_f0e5cc6e64bb,EX_c8a9a189a2b8,A_34d5e06a6831,100,10,10,true,2026-06-30 20:16:05.190986
U_68f96c5d0cdc,EX_905be6e51f30,A_43bc830a2b9e,60,6,10,true,2026-06-30 20:08:54.049808
U_dd4fffcde126,EX_31ae6ee12441,A_5fbfe8a68497,80,8,10,true,2026-06-30 20:02:52.543426
U_68f96c5d0cdc,EX_c62ed402b987,A_43bc830a2b9e,80,8,10,true,2026-06-30 19:58:11.51093
U_d1ebd74aceeb,EX_187aee390188,A_31e0a9509ba0,90,9,10,true,2026-06-30 19:35:57.177486
U_68f96c5d0cdc,EX_8c549e7dffb6,A_43bc830a2b9e,80,8,10,true,2026-06-30 19:13:15.054009
U_f0e5cc6e64bb,EX_5d5a2e22b37b,A_34d5e06a6831,100,5,5,true,2026-06-30 19:04:12.191311
U_68f96c5d0cdc,EX_c71fe1e4b254,A_43bc830a2b9e,40,2,5,true,2026-06-30 18:56:43.647243
U_886167bac431,EX_12a584e624bb,A_9b216d110fd0,100,1,1,true,2026-06-30 18:41:39.390302
U_1c0621611fdb,EX_12a584e624bb,A_9b216d110fd0,100,1,1,true,2026-06-30 18:41:36.580283
U_d0dd886c5e33,EX_47f5c411b804,A_0df93d06b03c,100,1,1,true,2026-06-30 18:33:47.373394
U_53fb5daf5fcd,EX_30f925ba1db2,A_43bc830a2b9e,100,5,5,true,2026-06-30 18:30:30.681722
U_ef21f7cef3f3,EX_89df4dcff459,A_3e1859d38987,70,7,10,true,2026-06-30 18:18:26.470741
U_a5c2dbb03f88,EX_7a9c21c30b9f,A_ce5e18928120,90,9,10,true,2026-06-30 17:54:08.00532
U_a5c2dbb03f88,EX_004f61f75e1c,A_ce5e18928120,90,9,10,true,2026-06-30 17:39:28.606918
U_0a517d2d8e29,EX_3f847c7ec9d5,A_88aa090ca44b,60,3,5,true,2026-06-30 17:36:10.451244
U_a5c2dbb03f88,EX_d34fef522c40,A_ce5e18928120,100,5,5,true,2026-06-30 17:20:12.966954
U_a5c2dbb03f88,EX_b7afb514cedd,A_cb3fea18f52e,90,9,10,true,2026-06-30 17:13:21.714014
U_533f63515b23,EX_b1e234c2a84a,A_b5ac7c37978f,60,6,10,true,2026-06-30 17:13:00.555342
U_dd4fffcde126,EX_fea6b456c790,A_5fbfe8a68497,90,9,10,true,2026-06-30 17:02:38.816364
U_48f622ea94e5,EX_ba3c64a931a0,A_7c0fb042ac70,70,7,10,true,2026-06-30 16:59:11.848878
U_a5c2dbb03f88,EX_18e122760b5f,A_cb3fea18f52e,80,4,5,true,2026-06-30 16:49:04.699185
U_a5c2dbb03f88,EX_4eb18e3ffc98,A_cb3fea18f52e,70,7,10,true,2026-06-30 16:35:44.019526
U_f9ff79e7d390,EX_d82981db0f93,A_88aa090ca44b,70,7,10,true,2026-06-30 16:30:48.898375
U_a5c2dbb03f88,EX_187aee390188,A_cb3fea18f52e,80,8,10,true,2026-06-30 16:11:37.508491
U_2722872b4b6e,EX_0b09405f5db6,A_cfe20bde6665,60,6,10,true,2026-06-30 15:59:11.404333
U_a5c2dbb03f88,EX_54e925b099af,A_ce5e18928120,80,4,5,true,2026-06-30 15:56:24.124632
U_d0dd886c5e33,EX_8c549e7dffb6,A_0df93d06b03c,100,10,10,true,2026-06-30 15:55:54.683637
U_2722872b4b6e,EX_ac81fdf6c43a,A_cfe20bde6665,50,5,10,true,2026-06-30 15:50:05.153597
U_a5c2dbb03f88,EX_eedb8ca881b2,A_cb3fea18f52e,60,6,10,true,2026-06-30 15:42:47.410458
U_d32fcdb368e8,EX_09c3c83d9e2f,A_2c6c49de9838,100,5,5,true,2026-06-30 15:20:59.390585
U_2722872b4b6e,EX_ba3c64a931a0,A_cfe20bde6665,100,10,10,true,2026-06-30 15:17:36.30477
U_a36f6b54200f,EX_2d2d8d5fbe81,A_9b39f08b8ced,90,9,10,true,2026-06-30 15:16:46.254357
U_48f622ea94e5,EX_54e925b099af,A_7c0fb042ac70,100,5,5,true,2026-06-30 15:08:19.510654
U_af5240126da9,EX_286d0c32d307,A_ab8d0962e7ff,80,8,10,true,2026-06-30 15:02:42.986518
U_0a517d2d8e29,EX_c62ed402b987,A_88aa090ca44b,80,8,10,true,2026-06-30 14:59:53.533439
U_aff260523c44,EX_018cf3fc49c8,A_88aa090ca44b,90,9,10,true,2026-06-30 14:54:00.864595
U_aff260523c44,EX_ac81fdf6c43a,A_88aa090ca44b,90,9,10,true,2026-06-30 14:46:19.26702
